FALSE,9,OBC,"uint16_t offset = event_handler->tlm_info.rule.page_no * EH_RULE_TLM_PAGE_SIZE;
,RULE11.SETTINGS.CONDITION.TYPE,,3,,STATUS,,,,,,,"0=SINGLE, 1=CONTINUOUS, 2=CUMULATIVE, *=N/A",,,
,RULE11.SETTINGS.CONDITION.COUNT_THRESHOLD,uint16_t,,rules[11 + offset].settings.condition.count_threshold,NONE,,,,,,,,,,
,RULE11.SETTINGS.CONDITION.TIME_THRESHOLD_MS,uint32_t,,rules[11 + offset].settings.condition.time_threshold_ms,NONE,,,,,,,,,,
,RULE11.SETTINGS.DEPLOY_BCT_ID,uint16_t,,(uint16_t)rules[11 + offset].settings.deploy_bct_id,NONE,,,,,,,,,,
,RULE11.COUNTER,uint16_t,,rules[11 + offset].counter,NONE,,,,,,,,,,
,RULE11.LAST_EVENT_TIME.TOTAL_CYCLE,uint32_t,,(uint32_t)rules[11 + offset].last_event_time.total_cycle,NONE,,,,,,,,,,
,RULE12.SETTINGS.EVENT.GROUP,uint8_t,,(uint8_t)rules[12 + offset].settings.event.group,NONE,,,,,,,,,,
,RULE12.SETTINGS.EVENT.LOCAL,uint32_t,,rules[12 + offset].settings.event.local,NONE,,,,,,,,,,
,RULE12.SETTINGS.EVENT.ERR_LEVEL,_uint8_t,3,(uint8_t)((((uint8_t)rules[12 + offset].settings.event.err_level) << 5 & 0xe0) | (rules[12 + offset].settings.should_match_err_level << 4 & 0x10) | (rules[12 + offset].settings.is_active << 3 & 0x08) | (((uint8_t)rules[12 + offset].settings.condition.type) & 0x07)),STATUS,,,,,,,"0=HIGH, 1=MIDDLE, 2=LOW, 3=EL, 4=EH, *=N/A",,,
,RULE12.SETTINGS.SHOULD_MATCH_ERR_LEVEL,,1,,STATUS,,,,,,,"0=NO, 1=YES, *=N/A",,,
,RULE12.SETTINGS.IS_ACTIVE,,1,,STATUS,,,,,,,"0=INACTIVE, 1=ACTIVE, *=N/A",,,
,RULE12.SETTINGS.CONDITION.TYPE,,3,,STATUS,,,,,,,"0=SINGLE, 1=CONTINUOUS, 2=CUMULATIVE, *=N/A",,,
,RULE12.SETTINGS.CONDITION.COUNT_THRESHOLD,uint16_t,,rules[12 + offset].settings.condition.count_threshold,NONE,,,,,,,,,,
,RULE12.SETTINGS.CONDITION.TIME_THRESHOLD_MS,uint32_t,,rules[12 + offset].settings.condition.time_threshold_ms,NONE,,,,,,,,,,
,RULE12.SETTINGS.DEPLOY_BCT_ID,uint16_t,,(uint16_t)rules[12 + offset].settings.deploy_bct_id,NONE,,,,,,,,,,
,RULE12.COUNTER,uint16_t,,rules[12 + offset].counter,NONE,,,,,,,,,,
,RULE12.LAST_EVENT_TIME.TOTAL_CYCLE,uint32_t,,(uint32_t)rules[12 + offset].last_event_time.total_cycle,NONE,,,,,,,,,,
,RULE13.SETTINGS.EVENT.GROUP,uint8_t,,(uint8_t)rules[13 + offset].settings.event.group,NONE,,,,,,,,,,
,RULE13.SETTINGS.EVENT.LOCAL,uint32_t,,rules[13 + offset].settings.event.local,NONE,,,,,,,,,,
,RULE13.SETTINGS.EVENT.ERR_LEVEL,_uint8_t,3,(uint8_t)((((uint8_t)rules[13 + offset].settings.event.err_level) << 5 & 0xe0) | (rules[13 + offset].settings.should_match_err_level << 4 & 0x10) | (rules[13 + offset].settings.is_active << 3 & 0x08) | (((uint8_t)rules[13 + offset].settings.condition.type) & 0x07)),STATUS,,,,,,,"0=HIGH, 1=MIDDLE, 2=LOW, 3=EL, 4=EH, *=N/A",,,
,RULE13.SETTINGS.SHOULD_MATCH_ERR_LEVEL,,1,,STATUS,,,,,,,"0=NO, 1=YES, *=N/A",,,
,RULE13.SETTINGS.IS_ACTIVE,,1,,STATUS,,,,,,,"0=INACTIVE, 1=ACTIVE, *=N/A",,,
,RULE13.SETTINGS.CONDITION.TYPE,,3,,STATUS,,,,,,,"0=SINGLE, 1=CONTINUOUS, 2=CUMULATIVE, *=N/A",,,
,RULE13.SETTINGS.CONDITION.COUNT_THRESHOLD,uint16_t,,rules[13 + offset].settings.condition.count_threshold,NONE,,,,,,,,,,
,RULE13.SETTINGS.CONDITION.TIME_THRESHOLD_MS,uint32_t,,rules[13 + offset].settings.condition.time_threshold_ms,NONE,,,,,,,,,,
,RULE13.SETTINGS.DEPLOY_BCT_ID,uint16_t,,(uint16_t)rules[13 + offset].settings.deploy_bct_id,NONE,,,,,,,,,,
,RULE13.COUNTER,uint16_t,,rules[13 + offset].counter,NONE,,,,,,,,,,
,RULE13.LAST_EVENT_TIME.TOTAL_CYCLE,uint32_t,,(uint32_t)rules[13 + offset].last_event_time.total_cycle,NONE,,,,,,,,,,
,RULE14.SETTINGS.EVENT.GROUP,uint8_t,,(uint8_t)rules[14 + offset].settings.event.group,NONE,,,,,,,,,,
