FALSE,4,OBC,"const bct_id_t block = block_command_table->pos.block;
",,,,,,,,,,,,
subsystem,name,type,bit,var,conv,a0,a1,a2,a3,a4,a5,status,description,note,priority
,PH.VER,_uint16_t,3,,NONE,,,,,,,,,,
,PH.TYPE,,1,,NONE,,,,,,,,,,
,PH.SH_FLAG,,1,,NONE,,,,,,,,,,
,PH.APID,,11,,NONE,,,,,,,,,,
,PH.SEQ_FLAG,_uint16_t,2,,NONE,,,,,,,,,,
,PH.SEQ_COUNT,,14,,NONE,,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,,NONE,,,,,,,,,,
,CMD9_PARAM5,uint8_t,,"BCT_get_param_head(block, 9)[5]",HEX,,,,,,,,,,
,CMD10_ID,uint16_t,,"(uint16_t)BCT_get_id(block, 10)",HEX,,,,,,,,,,
,CMD10_TI,uint32_t,,"(uint32_t)BCT_get_ti(block, 10)",NONE,,,,,,,,,,
,CMD10_PARAM0,uint8_t,,"BCT_get_param_head(block, 10)[0]",HEX,,,,,,,,,,
,CMD10_PARAM1,uint8_t,,"BCT_get_param_head(block, 10)[1]",HEX,,,,,,,,,,
,CMD10_PARAM2,uint8_t,,"BCT_get_param_head(block, 10)[2]",HEX,,,,,,,,,,
,CMD10_PARAM3,uint8_t,,"BCT_get_param_head(block, 10)[3]",HEX,,,,,,,,,,
,CMD10_PARAM4,uint8_t,,"BCT_get_param_head(block, 10)[4]",HEX,,,,,,,,,,
,CMD10_PARAM5,uint8_t,,"BCT_get_param_head(block, 10)[5]",HEX,,,,,,,,,,
,CMD11_ID,uint16_t,,"(uint16_t)BCT_get_id(block, 11)",HEX,,,,,,,,,,
,CMD11_TI,uint32_t,,"(uint32_t)BCT_get_ti(block, 11)",NONE,,,,,,,,,,
,CMD11_PARAM0,uint8_t,,"BCT_get_param_head(block, 11)[0]",HEX,,,,,,,,,,
,CMD11_PARAM1,uint8_t,,"BCT_get_param_head(block, 11)[1]",HEX,,,,,,,,,,
,CMD11_PARAM2,uint8_t,,"BCT_get_param_head(block, 11)[2]",HEX,,,,,,,,,,
,CMD11_PARAM3,uint8_t,,"BCT_get_param_head(block, 11)[3]",HEX,,,,,,,,,,
,CMD11_PARAM4,uint8_t,,"BCT_get_param_head(block, 11)[4]",HEX,,,,,,,,,,
,CMD11_PARAM5,uint8_t,,"BCT_get_param_head(block, 11)[5]",HEX,,,,,,,,,,
,CMD12_ID,uint16_t,,"(uint16_t)BCT_get_id(block, 12)",HEX,,,,,,,,,,
,CMD12_TI,uint32_t,,"(uint32_t)BCT_get_ti(block, 12)",NONE,,,,,,,,,,
,CMD12_PARAM0,uint8_t,,"BCT_get_param_head(block, 12)[0]",HEX,,,,,,,,,,
,CMD12_PARAM1,uint8_t,,"BCT_get_param_head(block, 12)[1]",HEX,,,,,,,,,,
,CMD12_PARAM2,uint8_t,,"BCT_get_param_head(block, 12)[2]",HEX,,,,,,,,,,
,CMD12_PARAM3,uint8_t,,"BCT_get_param_head(block, 12)[3]",HEX,,,,,,,,,,
,CMD12_PARAM4,uint8_t,,"BCT_get_param_head(block, 12)[4]",HEX,,,,,,,,,,
,CMD12_PARAM5,uint8_t,,"BCT_get_param_head(block, 12)[5]",HEX,,,,,,,,,,
,CMD13_ID,uint16_t,,"(uint16_t)BCT_get_id(block, 13)",HEX,,,,,,,,,,
,CMD13_TI,uint32_t,,"(uint32_t)BCT_get_ti(block, 13)",NONE,,,,,,,,,,
,CMD13_PARAM0,uint8_t,,"BCT_get_param_head(block, 13)[0]",HEX,,,,,,,,,,
,CMD13_PARAM1,uint8_t,,"BCT_get_param_head(block, 13)[1]",HEX,,,,,,,,,,
,CMD13_PARAM2,uint8_t,,"BCT_get_param_head(block, 13)[2]",HEX,,,,,,,,,,
,CMD13_PARAM3,uint8_t,,"BCT_get_param_head(block, 13)[3]",HEX,,,,,,,,,,
,CMD13_PARAM4,uint8_t,,"BCT_get_param_head(block, 13)[4]",HEX,,,,,,,,,,
,CMD13_PARAM5,uint8_t,,"BCT_get_param_head(block, 13)[5]",HEX,,,,,,,,,,
,CMD14_ID,uint16_t,,"(uint16_t)BCT_get_id(block, 14)",HEX,,,,,,,,,,
,CMD14_TI,uint32_t,,"(uint32_t)BCT_get_ti(block, 14)",NONE,,,,,,,,,,
,CMD14_PARAM0,uint8_t,,"BCT_get_param_head(block, 14)[0]",HEX,,,,,,,,,,
,CMD14_PARAM1,uint8_t,,"BCT_get_param_head(block, 14)[1]",HEX,,,,,,,,,,
,CMD14_PARAM2,uint8_t,,"BCT_get_param_head(block, 14)[2]",HEX,,,,,,,,,,
,CMD14_PARAM3,uint8_t,,"BCT_get_param_head(block, 14)[3]",HEX,,,,,,,,,,
,CMD14_PARAM4,uint8_t,,"BCT_get_param_head(block, 14)[4]",HEX,,,,,,,,,,
,CMD14_PARAM5,uint8_t,,"BCT_get_param_head(block, 14)[5]",HEX,,,,,,,,,,
,CMD15_ID,uint16_t,,"(uint16_t)BCT_get_id(block, 15)",HEX,,,,,,,,,,
,CMD15_TI,uint32_t,,"(uint32_t)BCT_get_ti(block, 15)",NONE,,,,,,,,,,
,CMD15_PARAM0,uint8_t,,"BCT_get_param_head(block, 15)[0]",HEX,,,,,,,,,,
,CMD15_PARAM1,uint8_t,,"BCT_get_param_head(block, 15)[1]",HEX,,,,,,,,,,
,CMD15_PARAM2,uint8_t,,"BCT_get_param_head(block, 15)[2]",HEX,,,,,,,,,,
,CMD15_PARAM3,uint8_t,,"BCT_get_param_head(block, 15)[3]",HEX,,,,,,,,,,
,CMD15_PARAM4,uint8_t,,"BCT_get_param_head(block, 15)[4]",HEX,,,,,,,,,,
,CMD15_PARAM5,uint8_t,,"BCT_get_param_head(block, 15)[5]",HEX,,,,,,,,,,
,CMD16_ID,uint16_t,,"(uint16_t)BCT_get_id(block, 16)",HEX,,,,,,,,,,
,CMD16_TI,uint32_t,,"(uint32_t)BCT_get_ti(block, 16)",NONE,,,,,,,,,,
,CMD16_PARAM0,uint8_t,,"BCT_get_param_head(block, 16)[0]",HEX,,,,,,,,,,
,CMD16_PARAM1,uint8_t,,"BCT_get_param_head(block, 16)[1]",HEX,,,,,,,,,,
,CMD16_PARAM2,uint8_t,,"BCT_get_param_head(block, 16)[2]",HEX,,,,,,,,,,
,CMD16_PARAM3,uint8_t,,"BCT_get_param_head(block, 16)[3]",HEX,,,,,,,,,,
,CMD16_PARAM4,uint8_t,,"BCT_get_param_head(block, 16)[4]",HEX,,,,,,,,,,
,CMD16_PARAM5,uint8_t,,"BCT_get_param_head(block, 16)[5]",HEX,,,,,,,,,,
,CMD17_ID,uint16_t,,"(uint16_t)BCT_get_id(block, 17)",HEX,,,,,,,,,,
,CMD17_TI,uint32_t,,"(uint32_t)BCT_get_ti(block, 17)",NONE,,,,,,,,,,
,CMD17_PARAM0,uint8_t,,"BCT_get_param_head(block, 17)[0]",HEX,,,,,,,,,,
,CMD17_PARAM1,uint8_t,,"BCT_get_param_head(block, 17)[1]",HEX,,,,,,,,,,
,CMD17_PARAM2,uint8_t,,"BCT_get_param_head(block, 17)[2]",HEX,,,,,,,,,,
,CMD17_PARAM3,uint8_t,,"BCT_get_param_head(block, 17)[3]",HEX,,,,,,,,,,
,CMD17_PARAM4,uint8_t,,"BCT_get_param_head(block, 17)[4]",HEX,,,,,,,,,,
,CMD17_PARAM5,uint8_t,,"BCT_get_param_head(block, 17)[5]",HEX,,,,,,,,,,
,CMD18_ID,uint16_t,,"(uint16_t)BCT_get_id(block, 18)",HEX,,,,,,,,,,
,CMD18_TI,uint32_t,,"(uint32_t)BCT_get_ti(block, 18)",NONE,,,,,,,,,,
,CMD18_PARAM0,uint8_t,,"BCT_get_param_head(block, 18)[0]",HEX,,,,,,,,,,
,CMD18_PARAM1,uint8_t,,"BCT_get_param_head(block, 18)[1]",HEX,,,,,,,,,,
,CMD18_PARAM2,uint8_t,,"BCT_get_param_head(block, 18)[2]",HEX,,,,,,,,,,
,CMD18_PARAM3,uint8_t,,"BCT_get_param_head(block, 18)[3]",HEX,,,,,,,,,,
,CMD18_PARAM4,uint8_t,,"BCT_get_param_head(block, 18)[4]",HEX,,,,,,,,,,
,CMD18_PARAM5,uint8_t,,"BCT_get_param_head(block, 18)[5]",HEX,,,,,,,,,,
,CMD19_ID,uint16_t,,"(uint16_t)BCT_get_id(block, 19)",HEX,,,,,,,,,,
,CMD19_TI,uint32_t,,"(uint32_t)BCT_get_ti(block, 19)",NONE,,,,,,,,,,
,CMD19_PARAM0,uint8_t,,"BCT_get_param_head(block, 19)[0]",HEX,,,,,,,,,,
,CMD19_PARAM1,uint8_t,,"BCT_get_param_head(block, 19)[1]",HEX,,,,,,,,,,
,CMD19_PARAM2,uint8_t,,"BCT_get_param_head(block, 19)[2]",HEX,,,,,,,,,,
,CMD19_PARAM3,uint8_t,,"BCT_get_param_head(block, 19)[3]",HEX,,,,,,,,,,
,CMD19_PARAM4,uint8_t,,"BCT_get_param_head(block, 19)[4]",HEX,,,,,,,,,,
,CMD19_PARAM5,uint8_t,,"BCT_get_param_head(block, 19)[5]",HEX,,,,,,,,,,
,CMD20_ID,uint16_t,,"(uint16_t)BCT_get_id(block, 20)",HEX,,,,,,,,,,
,CMD20_TI,uint32_t,,"(uint32_t)BCT_get_ti(block, 20)",NONE,,,,,,,,,,
